name;price;unit_price;ean;nutriscore;promo;url
Fomage James Poivre 5 Baies 100% Végétal Bio SOJABIO;3,25 €;24.07 € / KG;3576569100064;U;;https://www.carrefour.fr/p/fomage-james-poivre-5-baies-100-vegetal-bio-sojabio-3576569100064?t=36999
Fromage James Thym Ail 100% Végétal Bio SOJABIO;3,25 €;24.07 € / KG;3576569100071;C;;https://www.carrefour.fr/p/fromage-james-thym-ail-100-vegetal-bio-sojabio-3576569100071?t=36999
Fromage Brocciu Frais AOP CORSICA;4,99 €;19.96 € / KG;3592620000111;U;;https://www.carrefour.fr/p/fromage-brocciu-frais-aop-corsica-3592620000111?t=36999
Fromage la Brique Pur Brebis LOU PERAC;3,95 €;26.33 € / KG;3592630000125;;;https://www.carrefour.fr/p/fromage-la-brique-pur-brebis-lou-perac-3592630000125?t=36999
Fromage Pecorino Copeaux au Lait de Brebis TREO;2,99 €;37.38 € / KG;3664042010594;;;https://www.carrefour.fr/p/fromage-pecorino-copeaux-au-lait-de-brebis-treo-3664042010594?t=36999
Fromage Pecorino Cacio e Pepe Râpé TREO;3,25 €;40.62 € / KG;3664042010600;;;https://www.carrefour.fr/p/fromage-pecorino-cacio-e-pepe-rape-treo-3664042010600?t=36999
Fromage Râpé Grana Padano AOP TREO;3,89 €;21.61 € / KG;3664042010679;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/fromage-rape-grana-padano-aop-treo-3664042010679?t=36999
Fromage : Moulin Rouge 31,3% MG;2,43 €;12.15 € / KG;3700060601977;;;https://www.carrefour.fr/p/fromage-moulin-rouge-31-3-mg-3700060601977?t=36999
Camembert Au Lait Cru AOP FLEURON DU PLESSIS;4,59 €;18.36 € / KG;3700179530083;U;;https://www.carrefour.fr/p/camembert-au-lait-cru-aop-fleuron-du-plessis-3700179530083?t=36999
Fromage Camembert de Normandie AOP E. GRAINDORGE;5,55 €;22.20 € / KG;3700179530144;U;;https://www.carrefour.fr/p/fromage-camembert-de-normandie-aop-e-graindorge-3700179530144?t=36999
Gorgonzola 1/2 AOP L'ITALIE DES FROMAGES;3,22 €;12.90 € / KG;3700650500185;;Ouvrir description de la promotion A saisir;https://www.carrefour.fr/p/gorgonzola-1-2-aop-l-italie-des-fromages-3700650500185?t=36999
Fromage Apéritif de Chèvre DOMAINE DES BALLIFAYS;6,29 €;41.93 € / KG;3760004490500;U;;https://www.carrefour.fr/p/fromage-aperitif-de-chevre-domaine-des-ballifays-3760004490500?t=36999
Fromage Au Lait de Vache Pasteurisé Jolan;3,89 €;17.68 € / KG;3760014990229;;;https://www.carrefour.fr/p/fromage-au-lait-de-vache-pasteurise-jolan-3760014990229?t=36999
Fromage Gaperon d'Auvergne LA LAITERIE DE VICHY;6,25 €;17.86 € / KG;3760014990410;;;https://www.carrefour.fr/p/fromage-gaperon-d-auvergne-la-laiterie-de-vichy-3760014990410?t=36999
Fromage Au Lait Cru 28% Mat.Gr.;9,75 €;17.73 € / KG;3760014990625;;;https://www.carrefour.fr/p/fromage-au-lait-cru-28-mat-gr-3760014990625?t=36999
Parmigiano Reggiano Copeaux AOP TREO;4,29 €;42.90 € / KG;3760019700502;U;;https://www.carrefour.fr/p/parmigiano-reggiano-copeaux-aop-treo-3760019700502?t=36999
Fromage Râpé Parmigiano Reggiano AOP TREO;4,29 €;42.90 € / KG;3760019700519;;;https://www.carrefour.fr/p/fromage-rape-parmigiano-reggiano-aop-treo-3760019700519?t=36999
Parmigiano Reggiano AOP TREO;6,69 €;33.45 € / KG;3760019713458;U;;https://www.carrefour.fr/p/parmigiano-reggiano-aop-treo-3760019713458?t=36999
Fromage Neufchâtel fermier AOP;2,40 €;12.00 € / KG;3760028630029;;;https://www.carrefour.fr/p/fromage-neufchatel-fermier-aop-3760028630029?t=36999
Fromage Neufchâtel fermier AOP;1,30 €;13.00 € / KG;3760028630050;;;https://www.carrefour.fr/p/fromage-neufchatel-fermier-aop-3760028630050?t=36999
Fromage Neufchâtel fermier AOP;2,30 €;11.50 € / KG;3760028630081;U;;https://www.carrefour.fr/p/fromage-neufchatel-fermier-aop-3760028630081?t=36999
Fromage Neufchâtel fermier affiné AOP;2,20 €;11.00 € / KG;3760028630098;;;https://www.carrefour.fr/p/fromage-neufchatel-fermier-affine-aop-3760028630098?t=36999
Fromage Neufchâtel fermier AOP;2,30 €;11.50 € / KG;3760028630111;;;https://www.carrefour.fr/p/fromage-neufchatel-fermier-aop-3760028630111?t=36999
Fromage Le Sanglé BADOZ;3,75 €;15.00 € / KG;3760032450019;U;;https://www.carrefour.fr/p/fromage-le-sangle-badoz-3760032450019?t=36999
Fromage St Nectaire Laitier AOP;3,40 €;18.89 € / KG;3760038270352;E;;https://www.carrefour.fr/p/fromage-st-nectaire-laitier-aop-3760038270352?t=36999
Fromage Saint Nectaire fermier;5,03 €;21.90 € / KG;3760038270888;;;https://www.carrefour.fr/p/fromage-saint-nectaire-fermier-3760038270888?t=36999
Fromage Comté AOP 16 mois;6,47 €;25.90 € / KG;3760038270932;E;;https://www.carrefour.fr/p/fromage-comte-aop-16-mois-3760038270932?t=36999
Fromage Chabrol;2,50 €;13.89 € / KG;3760038273742;U;;https://www.carrefour.fr/p/fromage-chabrol-3760038273742?t=36999
Fromage Abondance AOP POCHAT & FILS;5,88 €;22.20 € / KG;3760038277818;E;;https://www.carrefour.fr/p/fromage-abondance-aop-pochat-fils-3760038277818?t=36999
Fromage Tomme des Pyrénées IGP;3,87 €;15.50 € / KG;3760038279713;E;;https://www.carrefour.fr/p/fromage-tomme-des-pyrenees-igp-3760038279713?t=36999
